t, v, gamma, h
-241.48, 6044.19, -1.1282, 1.09982e+06
-241.38, 6044.25, -1.12814, 1.09927e+06
-241.28, 6044.31, -1.12807, 1.09872e+06
-241.18, 6044.37, -1.128, 1.09818e+06
-241.08, 6044.43, -1.12794, 1.09763e+06
-240.98, 6044.49, -1.12787, 1.09709e+06
-240.88, 6044.55, -1.12781, 1.09654e+06
-240.78, 6044.61, -1.12774, 1.09599e+06
-240.68, 6044.67, -1.12768, 1.09545e+06
-240.58, 6044.73, -1.12761, 1.0949e+06
-240.48, 6044.79, -1.12754, 1.09435e+06
-240.38, 6044.85, -1.12748, 1.09381e+06
-240.28, 6044.91, -1.12741, 1.09326e+06
-240.18, 6044.97, -1.12735, 1.09272e+06
-240.08, 6045.03, -1.12728, 1.09217e+06
-239.98, 6045.09, -1.12721, 1.09162e+06
-239.88, 6045.15, -1.12715, 1.09108e+06
-239.78, 6045.21, -1.12708, 1.09053e+06
-239.68, 6045.27, -1.12702, 1.08999e+06
-239.58, 6045.33, -1.12695, 1.08944e+06
-239.48, 6045.39, -1.12688, 1.08889e+06
-239.38, 6045.45, -1.12682, 1.08835e+06
-239.28, 6045.51, -1.12675, 1.0878e+06
-239.18, 6045.57, -1.12668, 1.08726e+06
-239.08, 6045.63, -1.12662, 1.08671e+06
-238.98, 6045.69, -1.12655, 1.08617e+06
-238.88, 6045.75, -1.12649, 1.08562e+06
-238.78, 6045.81, -1.12642, 1.08507e+06
-238.68, 6045.87, -1.12635, 1.08453e+06
-238.58, 6045.93, -1.12629, 1.08398e+06
-238.48, 6046, -1.12622, 1.08344e+06
-238.38, 6046.06, -1.12615, 1.08289e+06
-238.28, 6046.12, -1.12609, 1.08234e+06
-238.18, 6046.18, -1.12602, 1.0818e+06
-238.08, 6046.24, -1.12596, 1.08125e+06
-237.98, 6046.3, -1.12589, 1.08071e+06
-237.88, 6046.36, -1.12582, 1.08016e+06
-237.78, 6046.42, -1.12576, 1.07962e+06
-237.68, 6046.48, -1.12569, 1.07907e+06
-237.58, 6046.54, -1.12562, 1.07852e+06
-237.48, 6046.6, -1.12556, 1.07798e+06
-237.38, 6046.66, -1.12549, 1.07743e+06
-237.28, 6046.72, -1.12542, 1.07689e+06
-237.18, 6046.78, -1.12536, 1.07634e+06
-237.08, 6046.84, -1.12529, 1.0758e+06
-236.98, 6046.91, -1.12522, 1.07525e+06
-236.88, 6046.97, -1.12516, 1.0747e+06
-236.78, 6047.03, -1.12509, 1.07416e+06
-236.68, 6047.09, -1.12502, 1.07361e+06
-236.58, 6047.15, -1.12496, 1.07307e+06
-236.48, 6047.21, -1.12489, 1.07252e+06
-236.38, 6047.27, -1.12482, 1.07198e+06
-236.28, 6047.33, -1.12476, 1.07143e+06
-236.18, 6047.39, -1.12469, 1.07088e+06
-236.08, 6047.45, -1.12462, 1.07034e+06
-235.98, 6047.51, -1.12456, 1.06979e+06
-235.88, 6047.58, -1.12449, 1.06925e+06
-235.78, 6047.64, -1.12442, 1.0687e+06
-235.68, 6047.7, -1.12436, 1.06816e+06
-235.58, 6047.76, -1.12429, 1.06761e+06
-235.48, 6047.82, -1.12422, 1.06707e+06
-235.38, 6047.88, -1.12416, 1.06652e+06
-235.28, 6047.94, -1.12409, 1.06598e+06
-235.18, 6048, -1.12402, 1.06543e+06
-235.08, 6048.06, -1.12396, 1.06488e+06
-234.98, 6048.12, -1.12389, 1.06434e+06
-234.88, 6048.19, -1.12382, 1.06379e+06
-234.78, 6048.25, -1.12375, 1.06325e+06
-234.68, 6048.31, -1.12369, 1.0627e+06
-234.58, 6048.37, -1.12362, 1.06216e+06
-234.48, 6048.43, -1.12355, 1.06161e+06
-234.38, 6048.49, -1.12349, 1.06107e+06
-234.28, 6048.55, -1.12342, 1.06052e+06
-234.18, 6048.61, -1.12335, 1.05998e+06
-234.08, 6048.68, -1.12328, 1.05943e+06
-233.98, 6048.74, -1.12322, 1.05889e+06
-233.88, 6048.8, -1.12315, 1.05834e+06
-233.78, 6048.86, -1.12308, 1.05779e+06
-233.68, 6048.92, -1.12302, 1.05725e+06
-233.58, 6048.98, -1.12295, 1.0567e+06
-233.48, 6049.04, -1.12288, 1.05616e+06
-233.38, 6049.1, -1.12281, 1.05561e+06
-233.28, 6049.17, -1.12275, 1.05507e+06
-233.18, 6049.23, -1.12268, 1.05452e+06
-233.08, 6049.29, -1.12261, 1.05398e+06
-232.98, 6049.35, -1.12255, 1.05343e+06
-232.88, 6049.41, -1.12248, 1.05289e+06
-232.78, 6049.47, -1.12241, 1.05234e+06
-232.68, 6049.53, -1.12234, 1.0518e+06
-232.58, 6049.6, -1.12228, 1.05125e+06
-232.48, 6049.66, -1.12221, 1.05071e+06
-232.38, 6049.72, -1.12214, 1.05016e+06
-232.28, 6049.78, -1.12207, 1.04962e+06
-232.18, 6049.84, -1.12201, 1.04907e+06
-232.08, 6049.9, -1.12194, 1.04853e+06
-231.98, 6049.97, -1.12187, 1.04798e+06
-231.88, 6050.03, -1.1218, 1.04744e+06
-231.78, 6050.09, -1.12174, 1.04689e+06
-231.68, 6050.15, -1.12167, 1.04635e+06
-231.58, 6050.21, -1.1216, 1.0458e+06
-231.48, 6050.27, -1.12153, 1.04526e+06
-231.38, 6050.34, -1.12146, 1.04471e+06
-231.28, 6050.4, -1.1214, 1.04417e+06
